N,wide_area,wide_error,narrow_area,narrow_error
66100,0.944551,3.54624e-05,0.785469,0.168391
66600,0.940581,0.00416732,0.785279,0.168592
67100,0.951022,0.0068873,0.785906,0.167928
67600,0.940993,0.00373162,0.786706,0.167082
68100,0.945093,0.000609121,0.786301,0.16751
68600,0.940566,0.00418371,0.78471,0.169195
69100,0.946329,0.00191772,0.784829,0.169068
69600,0.941496,0.00319898,0.785586,0.168267
70100,0.946412,0.0020064,0.785325,0.168543
70600,0.945421,0.000956567,0.786207,0.16761
71100,0.937418,0.0075165,0.785859,0.167978
71600,0.939633,0.00517143,0.78588,0.167956
72100,0.941829,0.00284567,0.785395,0.168469
72600,0.945446,0.000983672,0.784775,0.169125
73100,0.938955,0.00588907,0.785419,0.168444
73600,0.949488,0.00526257,0.785736,0.168108
74100,0.942097,0.00256218,0.785175,0.168702
74600,0.942696,0.00192847,0.784759,0.169143
75100,0.948955,0.00469821,0.785911,0.167923
75600,0.942833,0.00178277,0.786124,0.167697
76100,0.948974,0.00471832,0.784989,0.168899
76600,0.947456,0.00311104,0.784785,0.169116
77100,0.943844,0.000712351,0.784943,0.168948
77600,0.944501,1.68311e-05,0.785577,0.168276
78100,0.942569,0.00206315,0.785309,0.168561
78600,0.943683,0.000882969,0.785187,0.16869
79100,0.944534,1.72744e-05,0.785876,0.16796
79600,0.947634,0.00330035,0.785173,0.168704
80100,0.949337,0.00510302,0.785469,0.168391
80600,0.944185,0.000351844,0.785284,0.168587
81100,0.947896,0.00357774,0.785391,0.168474
81600,0.936728,0.0082468,0.785154,0.168724
82100,0.945702,0.00125397,0.785614,0.168238
82600,0.94841,0.00412192,0.785338,0.16853
83100,0.944751,0.000247446,0.785268,0.168603
83600,0.944106,0.000434853,0.785422,0.16844
84100,0.945556,0.00110034,0.784649,0.169259
84600,0.949181,0.00493762,0.7854,0.168465
85100,0.946142,0.00172046,0.78592,0.167913
85600,0.945421,0.000956441,0.785188,0.168688
86100,0.950645,0.00648735,0.785362,0.168504
86600,0.94897,0.00471436,0.785715,0.168131
87100,0.944948,0.000456476,0.786044,0.167783
87600,0.940736,0.00400298,0.784748,0.169155
88100,0.947278,0.00292309,0.785605,0.168247
88600,0.947418,0.0030708,0.784624,0.169285
89100,0.943404,0.00117853,0.785355,0.168512
89600,0.941414,0.00328541,0.785752,0.168091
90100,0.947987,0.0036733,0.78497,0.168919
90600,0.945368,0.000900316,0.785716,0.168129
91100,0.946739,0.00235206,0.78573,0.168115
91600,0.943202,0.00139248,0.785031,0.168855
92100,0.943779,0.000782076,0.785043,0.168842
92600,0.945583,0.00112858,0.785234,0.168639
93100,0.943531,0.00104453,0.785646,0.168204
93600,0.944423,9.96371e-05,0.786173,0.167646
94100,0.945555,0.00109849,0.78662,0.167173
94600,0.945885,0.00144793,0.785036,0.168849
95100,0.94058,0.004168,0.785348,0.168519
95600,0.943023,0.00158194,0.785162,0.168716
96100,0.941975,0.00269149,0.785776,0.168066
96600,0.947758,0.00343094,0.785152,0.168726
97100,0.943174,0.00142204,0.785508,0.16835
97600,0.943663,0.000904458,0.785509,0.168348
98100,0.945147,0.000666587,0.785324,0.168544
98600,0.947729,0.0034007,0.785115,0.168766
99100,0.946199,0.00178038,0.785175,0.168703
99600,0.946473,0.00207059,0.786022,0.167805
